Modèle,Métrique,Valeur,Précision
défaut/DummyClassifier_Uniform,score_f1_classe1,0.23240950411492073,0.46454767726161367
défaut/DummyClassifier_Constant1,score_f1_classe1,0.2577170494948925,0.1687041564792176
défaut/LogisticRegression,score_f1_classe1,0.5661102610469699,0.8459657701711492
défaut/LinearDiscriminantAnalysis,score_f1_classe1,0.545850812857146,0.8557457212713936
défaut/DecisionTreeClassifier,score_f1_classe1,0.4031512852882514,0.7946210268948656
défaut/RandomForestClassifier,score_f1_classe1,0.4129770928134099,0.8459657701711492
défaut/XGBClassifier,score_f1_classe1,0.532459629438341,0.8361858190709046
défaut/CatBoostClassifier,score_f1_classe1,0.46650293920385055,0.8508557457212714
défaut/LGBMClassifier,score_f1_classe1,0.5062491064786723,0.8410757946210269
défaut/LinearSVC,score_f1_classe1,0.5364438866364412,0.8533007334963325
défaut/KNeighborsClassifier5,score_f1_classe1,0.29592120967280766,0.8215158924205379
défaut/KNeighborsClassifier15,score_f1_classe1,0.1512101311060322,0.8312958435207825
défaut/VotingClassifier,score_f1_classe1,0.5323949617633829,0.8557457212713936
éq_classes/DummyClassifier_Uniform,score_f1_classe1,0.5037383177570093,0.5038759689922481
éq_classes/DummyClassifier_Constant1,score_f1_classe1,0.6527459468635939,0.4728682170542636
éq_classes/LogisticRegression,score_f1_classe1,0.7907612086833206,0.7674418604651163
éq_classes/LinearDiscriminantAnalysis,score_f1_classe1,0.785353929075898,0.7674418604651163
éq_classes/DecisionTreeClassifier,score_f1_classe1,0.652775949396412,0.7286821705426356
éq_classes/RandomForestClassifier,score_f1_classe1,0.7713864171114406,0.7751937984496124
éq_classes/XGBClassifier,score_f1_classe1,0.7532764730395318,0.7596899224806202
éq_classes/CatBoostClassifier,score_f1_classe1,0.7747090301003345,0.7829457364341085
éq_classes/LGBMClassifier,score_f1_classe1,0.7583612709312677,0.7751937984496124
éq_classes/LinearSVC,score_f1_classe1,0.7869783673914641,0.7674418604651163
éq_classes/KNeighborsClassifier5,score_f1_classe1,0.6789877486793301,0.7054263565891473
éq_classes/KNeighborsClassifier15,score_f1_classe1,0.6929860582879729,0.6976744186046512
éq_classes/VotingClassifier,score_f1_classe1,0.7920376025815108,0.7751937984496124
SMOTE/DummyClassifier_Uniform,score_f1_classe1,0.5100828801879957,0.46454767726161367
SMOTE/DummyClassifier_Constant1,score_f1_classe1,0.666666475661118,0.1687041564792176
SMOTE/LogisticRegression,score_f1_classe1,0.860745532737884,0.8312958435207825
SMOTE/LinearDiscriminantAnalysis,score_f1_classe1,0.8493396594425949,0.8337408312958435
SMOTE/DecisionTreeClassifier,score_f1_classe1,0.8559027958304819,0.8068459657701712
SMOTE/RandomForestClassifier,score_f1_classe1,0.9234477974804912,0.843520782396088
SMOTE/XGBClassifier,score_f1_classe1,0.8978744894662836,0.843520782396088
SMOTE/CatBoostClassifier,score_f1_classe1,0.9004915087693026,0.8484107579462102
SMOTE/LGBMClassifier,score_f1_classe1,0.8934388194265583,0.8533007334963325
SMOTE/LinearSVC,score_f1_classe1,0.8556418039866704,0.823960880195599
SMOTE/KNeighborsClassifier5,score_f1_classe1,0.8788903877117182,0.7506112469437652
SMOTE/KNeighborsClassifier15,score_f1_classe1,0.8560527601702571,0.7310513447432763
SMOTE/VotingClassifier,score_f1_classe1,0.9013843359078016,0.8459657701711492
